fecha_hora,locacion_id,personal_id,turno_id
2024-11-07 14:17:13,92,751,240
2024-11-07 07:33:16,95,209,172
2024-11-07 14:34:10,88,1317,227
2024-11-07 16:36:03,38,397,130
2024-11-07 07:38:47,18,525,217
2024-11-07 07:46:35,86,1459,4
2024-11-07 15:44:10,122,372,199
2024-11-07 08:31:07,119,517,182
2024-11-07 11:07:03,117,30,184
2024-11-07 16:28:49,107,931,268
2024-11-07 11:55:43,101,1439,158
2024-11-07 14:39:44,45,139,192
2024-11-07 07:05:02,55,921,140
2024-11-07 14:27:04,83,728,198
2024-11-07 12:26:12,30,389,89
2024-11-07 18:44:15,56,1138,54
2024-11-07 15:19:30,100,864,208
2024-11-07 08:28:09,110,737,261
2024-11-07 12:29:09,86,602,68
2024-11-07 13:43:00,89,1385,4
2024-11-07 17:09:01,17,73,112
2024-11-07 18:34:00,41,1330,35
2024-11-07 14:11:45,50,664,143
2024-11-07 13:06:38,89,655,15
2024-11-07 10:52:48,65,320,111
2024-11-07 12:55:33,96,1258,71
2024-11-07 09:18:04,40,1343,18
2024-11-07 15:17:47,65,598,260
2024-11-07 09:38:22,116,442,273
2024-11-07 07:23:10,123,1278,98
2024-11-07 07:40:48,119,635,55
2024-11-07 14:34:05,59,72,100
2024-11-07 10:51:37,17,724,64
2024-11-07 08:03:54,101,780,80
2024-11-07 09:37:46,46,544,261
2024-11-07 14:43:03,111,564,208
2024-11-07 10:47:09,89,647,5
2024-11-07 16:42:40,34,1373,186
2024-11-07 08:17:03,85,888,42
2024-11-07 16:53:58,34,112,27
2024-11-07 16:18:05,70,1303,63
2024-11-07 13:37:34,116,1306,30
2024-11-07 15:59:36,117,1435,70
2024-11-07 13:18:57,103,179,232
2024-11-07 18:01:39,60,807,32
2024-11-07 10:27:33,121,885,9
2024-11-07 18:11:51,86,1173,43
2024-11-07 09:59:39,63,139,235
2024-11-07 09:13:55,50,283,235
2024-11-07 10:30:32,105,883,88
2024-11-07 17:17:08,54,1221,31
2024-11-07 16:06:13,21,595,40
2024-11-07 12:03:14,70,818,182
2024-11-07 18:05:01,71,74,80
2024-11-07 08:30:27,97,528,129
2024-11-07 13:07:32,120,703,201
2024-11-07 12:21:20,86,511,103
2024-11-07 12:18:31,98,1291,47
2024-11-07 16:31:26,24,332,181
2024-11-07 12:00:56,45,427,273
2024-11-07 14:20:48,35,229,82
2024-11-07 11:06:35,113,1,163
2024-11-07 09:41:22,54,130,96
2024-11-07 09:17:00,89,437,242
2024-11-07 14:55:00,108,1232,114
2024-11-07 17:51:18,45,409,125
2024-11-07 14:46:34,119,227,276
2024-11-07 16:03:30,83,125,251
2024-11-07 11:45:37,50,1375,42
2024-11-07 11:49:38,57,971,228
2024-11-07 10:33:48,101,844,135
2024-11-07 09:12:21,46,737,59
2024-11-07 12:26:02,99,1144,132
2024-11-07 11:45:20,109,1065,264
2024-11-07 11:41:57,40,528,24
2024-11-07 12:50:36,53,1310,93
2024-11-07 17:28:37,113,524,111
2024-11-07 07:42:03,120,1073,229
2024-11-07 07:43:54,115,333,176
2024-11-07 15:27:18,20,1228,187
2024-11-07 07:56:47,110,1262,55
2024-11-07 10:42:41,99,1270,35
2024-11-07 10:07:57,121,1146,139
2024-11-07 11:23:31,50,1266,187
2024-11-07 14:16:32,90,1368,8
2024-11-07 16:03:26,79,712,88
2024-11-07 14:54:30,77,865,118
2024-11-07 13:19:33,86,248,109
2024-11-07 11:18:16,79,733,33
2024-11-07 13:55:44,59,111,91
2024-11-07 09:32:08,123,487,68
2024-11-07 13:42:11,35,260,197
2024-11-07 11:07:37,73,628,61
2024-11-07 16:37:02,83,1251,80
2024-11-07 12:47:49,85,1211,32
2024-11-07 12:47:28,61,742,56
2024-11-07 11:33:44,115,634,243
2024-11-07 10:12:51,105,1428,279
2024-11-07 13:53:24,53,219,134
2024-11-07 16:54:31,36,201,158
2024-11-07 18:12:27,18,993,279
2024-11-07 08:27:18,85,603,99
2024-11-07 17:03:26,55,216,117
2024-11-07 14:15:34,48,1317,133
2024-11-07 11:43:58,40,1247,84
2024-11-07 09:48:21,70,755,145
2024-11-07 07:14:30,37,217,214
2024-11-07 13:06:19,38,125,116
2024-11-07 10:36:13,39,521,147
2024-11-07 13:19:14,19,761,69
2024-11-07 09:34:26,69,54,103
2024-11-07 10:06:06,71,799,242
2024-11-07 11:06:36,38,1265,138
2024-11-07 14:11:44,30,964,250
2024-11-07 14:08:49,85,860,216
2024-11-07 07:04:25,65,908,39
2024-11-07 11:22:05,42,1060,32
2024-11-07 16:29:48,75,281,200
2024-11-07 11:39:36,66,84,32
2024-11-07 12:55:26,65,210,128
2024-11-07 07:06:54,17,658,201
2024-11-07 18:08:01,63,1324,52
2024-11-07 17:07:22,69,112,248
2024-11-07 14:23:06,24,701,148
2024-11-07 18:07:34,72,950,35
2024-11-07 14:03:41,41,1433,160
2024-11-07 07:14:09,52,334,120
2024-11-07 17:13:35,112,22,131
2024-11-07 15:32:38,84,120,47
2024-11-07 11:00:52,80,686,64
2024-11-07 14:57:31,80,253,257
2024-11-07 08:49:40,115,341,155
2024-11-07 07:36:19,113,653,100
2024-11-07 18:29:22,93,1239,168
2024-11-07 07:41:33,106,603,164
2024-11-07 07:02:06,25,508,28
2024-11-07 13:18:22,49,464,16
2024-11-07 15:06:19,34,981,140
2024-11-07 09:17:22,68,448,238
2024-11-07 12:45:33,125,543,40
2024-11-07 11:13:14,32,452,220
2024-11-07 14:31:55,57,829,15
2024-11-07 14:15:54,58,596,146
2024-11-07 16:27:32,77,1462,203
2024-11-07 12:18:33,71,940,58
2024-11-07 09:45:41,28,1011,216
2024-11-07 18:03:43,26,648,176
2024-11-07 09:27:23,76,1414,32
2024-11-07 09:28:02,76,801,267
2024-11-07 12:13:46,24,213,85
2024-11-07 13:55:50,62,44,229
2024-11-07 14:26:12,45,1063,117
2024-11-07 09:32:14,104,1077,111
2024-11-07 15:31:12,117,946,267
2024-11-07 18:29:49,45,166,129
2024-11-07 07:10:39,101,223,41
2024-11-07 13:33:23,41,174,119
